식품명,1회제공량,내용량_단위,총내용량(g),총내용량(mL),에너지,단백질,지방,탄수화물,총당류,나트륨,콜레스테롤,총포화지방산,트랜스지방산,카페인
HOT 로즈자스민티,370,mL,0,370,0,0,0,0,0,0,0,0,0,17
ICED 캐모마일레드티,400,mL,0,400,0,0,0,0,0,0,0,0,0,0
HOT 캐모마일레드티,370,mL,0,370,0,0,0,0,0,0,0,0,0,0
ICED 페퍼민트티,400,mL,0,400,0,0,0,0,0,0,0,0,0,0
HOT 페퍼민트티,370,mL,0,370,0,0,0,0,0,0,0,0,0,0
ICED 밀크티,400,mL,0,400,138,5,0,0,14,91,0,4.1,0,18
HOT 밀크티,370,mL,0,370,173,7,0,0,17,118,0,5.3,0,18
유자차,370,mL,0,370,187,0,0,0,42,2,0,0.1,0,0
레몬차,370,mL,0,370,218,0,0,0,44,1,0,0.1,0,0
자몽차,370,mL,0,370,186,0,0,0,42,2,0,0,0,0
커피 플랫치노,400,mL,0,400,181,2,0,0,26,116,0,3.5,0,91
망고 플랫치노,400,mL,0,400,256,0,0,0,59,16,0,0,0,0
모카 플랫치노,400,mL,0,400,220,2,0,0,32,121,0,3.6,0,95
카라멜 플랫치노,400,mL,0,400,358,2,0,0,41,189,0,15.3,0,91
자몽 플랫치노,400,mL,0,400,150,1,0,0,35,13,0,0,0,0
그린 애플 플랫치노,400,mL,0,400,223,0,0,0,49,27,0,0,0,0
녹차 플랫치노,400,mL,0,400,287,4,0,0,28,84,0,14.3,0,43
초코렛 칩 플랫치노,400,mL,0,400,410,7,0,0,43,141,0,16.8,0,45
민트 초코렛 칩 플랫치노,400,mL,0,400,497,6,0,0,51,118,0,21.7,0,44
플레인 요거트 플랫치노,400,mL,0,400,227,7,0,0,31,78,0,3.2,0,0
블루베리 요거트 플랫치노,400,mL,0,400,298,7,0,0,46,82,0,3.2,0,0
딸기 요거트 플랫치노,400,mL,0,400,322,7,0,0,53,84,0,3.2,0,0
오리진 쉐이크,400,mL,0,400,535,8,0,0,42,208,0,30.6,0,0
초코 쿠키쉐이크,400,mL,0,400,613,9,0,0,46,304,0,32.3,0,1
딸기 쉐이크,400,mL,0,400,650,9,0,0,64,215,0,30.6,0,0
(EX) 레몬에이드,630,mL,0,630,188,0,0,0,44,8,0,0,0,0
레몬에이드,400,mL,0,400,117,0,0,0,27,5,0,0,0,0
자몽에이드,400,mL,0,400,124,1,0,0,29,13,0,0,0,0
(EX) 자몽에이드,630,mL,0,630,199,1,0,0,46,19,0,0,0,0
청포도에이드,400,mL,0,400,131,0,0,0,30,3,0,0,0,0
(EX) 청포도에이드,630,mL,0,630,197,0,0,0,45,5,0,0,0,0
